,mobile_name,mrp,deal_price,user_review,light_weight_rating,value_for_money_rating,battery_life_rating
0,Honor 7c,12999,8499,"Using this one for more than a month now, the performance is satisfactory, but the biggest disappointment is the camera quality. One of the important USP of this camera was it's dual camera, but my 2 years old xiomi purchased for 7k gives much better images. Even the from camera does not impress much. Otherwise there is no complaint, rest everything is absolutely fine - Battery life is good 1 day, 2 hours charging time. screen quality is very good. almost zero heating even while watching videos.",3.8,3.8,3.7
1,Moto G6 Plus,23999,22499,"Front camera pics quality is bad, rear camera pics are good, the protruding camera is more prone to scratches, the internet speed is considerably slow while on call, don't know if it's the issue of the phone or Android.",4.7,4.5,4.3
2,Nokia 6.1,20095,14999,"Handheld Perfection you can Rely on
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Strong, striking and smooth. The Nokia 6.1 is cut from a single block of aluminium and features sculpted 2.5D corning gorilla glass display. Unlock your Nokia 6.1 with a rear fingerprint sensor for ease of use and maximized front display area.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Effortless Performance:
    

                        












     
    
      
 


    
    
        
    






    
    
        
            The latest qualcomm snapdragon 630 mobile platform with 4 GB of RAM provides 60% better performance. All the power you need for smooth, lag-free use.
        
    



                    
                
                
                    
                        















     
 
     
    

    


    
    
        
    






    
        Picture-Perfect Memories, Every Single Time
    

                        












     
    
      
 


    
    
        
    






    
    
        
            Capture the moments that matter on ZEISS optics 16MP main camera with 4k video recording. Show both sides of the story with innovative dual-sight mode, using both the 16MP main and 8MP wide-angle selfie camera that performs well, even in low-light conditions.",3.7,3.6,3.4
3,Huawei Nova 3,39999,29999,"I bought this phone thinking its would be as good as honor 8 pro and moreover this has 4 cameras. But it's a waste of money.
Picture quality is dark, I was expecting a lot more than this.
Headphone sound is really low, I have tried different headphone and its of no use.
Message app has been changed to Google default, I was in live with Huawei message app but now its same as stock andriod.",4.3,4.2,3.9
4,Huawei P20 Lite,22999,15999,"First of all I got it for 11k in Amazon sale and additional exchange of my old mobile. Camera is awesome and the looks are almost identical to iPhone it looks premium in hand and very light weight. In the era of 6-6.5"" screens this screen stands out of the majority and is very handy for single hand use. Buy if you get it around 15k as above this budget you will get many value for money phones.",4.2,3.9,3.7
5,Huawei Nova 3,39999,29999,"Wrost Experience by Amazon about this Product
Don't Buy it",4.3,4.2,3.9
6,Huawei P20 Pro,69999,54999,"An excellent phone with probably the best camera and battery life. After software update you might experience dramatic battery drain, best solution is to reset the phone and you would be able to get 1 1/2 days to 2 days of battery. Truly a flagship phone by Huawei.",4.5,4.5,4.4
7,Samsung Galaxy On7 Prime,12990,9990,My phone is not working properly all application are vibrate sometimes pls help what can I do,3.9,3.7,3.7
8,HTC Desire 12,15900,9990,"I am honestly telling, this is an awesome mobile if you are using just basic apps. If you're playing games, downloading movies then it drain battery very quickly. Otherwise, we can get full day battery usage with basic apps WhatsApp, Facebook, likewise. Friends, please go with brand like HTC.",,,
9,OnePlus 6,34999,29999,"I have been using Iphone for a very long time. Then I thought of using android phone but was not able to choose a best phone for my self. Then one of my friend suggested me Oneplus. So I purchased Oneplus 3T and I was amazed by its performance. I have been using Oneplus 3T for almost 2 yrs then thought of upgrading to Oneplus 6. This was best decision for me. I have been using it from last 2 months now. Battery life amazing last for one and a half day on 4G. Camera superb. RAM 6GB has never let me down.

Thank you Oneplus for making such an amazing phone. One of the best phone in Android.",4.6,4.3,4.3
